"Pokemon","Fast Move","Charged Move","DPS","TDO","DPS^3*TDO","CP"
"Starmie","Hidden Power (Electric)","Hydro Pump","10.82","254","321.8","2584"
"Starmie","Hidden Power (Ground)","Hydro Pump","10.82","254","321.8","2584"
"Starmie","Hidden Power (Rock)","Hydro Pump","10.82","254","321.8","2584"
"Starmie","Hidden Power (Ice)","Hydro Pump","10.82","254","321.8","2584"
"Starmie","Hidden Power (Bug)","Hydro Pump","10.82","254","321.8","2584"
"Starmie","Hidden Power (Dragon)","Hydro Pump","10.82","254","321.8","2584"
"Starmie","Hidden Power (Ghost)","Hydro Pump","10.82","254","321.8","2584"
"Starmie","Hidden Power (Dark)","Hydro Pump","10.82","254","321.8","2584"
"Starmie","Hidden Power (Steel)","Hydro Pump","10.82","254","321.8","2584"
"Fraxure","Iron Tail","Aqua Tail","10.819","186.5","236.1","2234"
"Nidoking","Fury Cutter","Megahorn","10.819","264.5","335","2567"
"Mega Kangaskhan","Low Kick","Brick Break","10.817","460.8","583.1","3850"
"Mew","Shadow Claw","Stone Edge","10.815","405.3","512.8","3265"
"Mothim","Air Slash","Aerial Ace","10.815","158.6","200.6","1815"
"Rapidash","Incinerate","Flame Charge","10.815","236.5","299.1","2461"
"Mew","Dragon Tail","Stone Edge","10.814","405.3","512.6","3265"
"Girafarig","Confusion","Thunderbolt","10.813","207.7","262.5","2046"
"Lapras","Water Gun","Surf","10.813","414.1","523.6","2641"
"Shadow Carvanha","Snarl","Aqua Jet","10.813","48.3","61","1020"
"Skuntank","Bite","Flamethrower","10.813","270.2","341.6","2358"
"Simisear","Fire Spin","Crunch","10.812","217.7","275.1","2350"
"Swoobat","Air Slash","Psychic","10.812","183","231.3","1716"
"Weezing","Tackle","Sludge Bomb","10.812","283.1","357.9","2293"
"Celebi","Charge Beam","Dazzling Gleam","10.81","405.1","511.8","3265"
"Jirachi","Charge Beam","Dazzling Gleam","10.81","405.1","511.8","3265"
"Mew","Charge Beam","Dazzling Gleam","10.81","405.1","511.8","3265"
"Sceptile","Bullet Seed","Earthquake","10.81","258.1","326","2757"
"Shaymin (Land Forme)","Hidden Power (Fire)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Fighting)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Water)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Flying)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Poison)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Electric)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Ground)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Psychic)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Rock)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Ice)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Bug)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Dragon)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Ghost)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Dark)","Energy Ball","10.81","405.1","511.7","3265"
"Shaymin (Land Forme)","Hidden Power (Steel)","Energy Ball","10.81","405.1","511.7","3265"
"Mew","Dragon Tail","Dark Pulse","10.809","405.1","511.6","3265"
"Hitmonchan","Counter","Ice Punch","10.807","241.7","305","2332"
"Mew","Cut","Blizzard","10.806","404.9","510.9","3265"
"Rapidash","Ember","Drill Run","10.806","236.3","298.1","2461"
"Ampharos","Volt Switch","Power Gem","10.805","306.3","386.3","2852"
"Crobat","Bite","Return","10.805","308.2","388.8","2646"
"Shadow Suicune","Ice Fang","Bubble Beam","10.804","374.9","472.7","2983"
"Mew","Cut","Focus Blast","10.802","404.8","510.3","3265"
"Shadow Bulbasaur","Vine Whip","Power Whip","10.802","112.6","141.8","1115"
"Porygon2","Hidden Power (Fire)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Fighting)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Water)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Flying)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Grass)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Poison)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Electric)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Ground)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Psychic)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Rock)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Ice)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Bug)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Dragon)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Ghost)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Dark)","Hyper Beam","10.8","311.3","392.2","2711"
"Porygon2","Hidden Power (Steel)","Hyper Beam","10.8","311.3","392.2","2711"
"Manectric","Snarl","Flame Burst","10.798","199","250.5","2340"
"Stoutland","Ice Fang","Play Rough","10.798","314.4","395.8","2827"
"Shadow Cloyster","Ice Shard","Icy Wind","10.797","257.2","323.7","2547"
"Clefable","Charm","Psychic","10.796","306.3","385.4","2437"
"Raichu","Thunder Shock","Thunder Punch","10.794","211.4","265.8","2182"
"Liepard","Charm","Dark Pulse","10.791","160.4","201.5","1846"
"Starmie","Hidden Power (Water)","Ice Beam","10.791","253.3","318.4","2584"
"Starmie","Hidden Power (Psychic)","Ice Beam","10.791","253.3","318.4","2584"
"Abra","Charge Beam","Shadow Ball","10.79","78.4","98.5","1342"
"Cinccino","Charm","Thunderbolt","10.79","212.8","267.3","2242"
"Crustle","Smack Down","Rock Blast","10.786","300.9","377.6","2542"
"Mew","Infestation","Hyper Beam","10.786","404.2","507.3","3265"
"Shadow Porygon","Tackle","Solar Beam","10.784","167.6","210.2","1720"
"Mew","Steel Wing","Thunder","10.782","404.1","506.5","3265"
"Mew","Shadow Claw","Dark Pulse","10.782","404.1","506.5","3265"
"Snorlax","Zen Headbutt","Skull Bash","10.782","475","595.4","3225"
"Shadow Mawile","Bite","Iron Head","10.78","147.8","185.2","1634"
"Throh","Low Kick","Focus Blast","10.779","360","450.9","2562"
"Mew","Waterfall","Rock Slide","10.777","403.9","505.5","3265"
"Kingdra","Water Gun","Blizzard","10.775","306.3","383.2","2641"
"Simisage","Vine Whip","Crunch","10.77","216.8","270.9","2350"
"Togekiss","Hidden Power (Fire)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Fighting)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Water)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Grass)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Poison)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Electric)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Ground)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Psychic)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Rock)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Ice)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Bug)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Dragon)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Ghost)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Dark)","Flamethrower","10.77","369.3","461.4","3332"
"Togekiss","Hidden Power (Steel)","Flamethrower","10.77","369.3","461.4","3332"
"Shadow Gliscor","Wing Attack","Night Slash","10.769","289.3","361.4","2692"
"Wigglytuff","Feint Attack","Play Rough","10.768","243.2","303.7","1926"
"Xatu","Feint Attack","Future Sight","10.768","214.2","267.4","2188"
"Clefable","Zen Headbutt","Meteor Mash","10.767","305.5","381.4","2437"
"Shadow Suicune","Hidden Power","Bubble Beam","10.765","373.5","466","2983"
"Golduck","Confusion","Psychic","10.764","271","338","2450"
"Electrode","Spark","Discharge","10.762","238.7","297.6","2099"
"Sandslash","Mud Shot","Earthquake","10.759","278.1","346.3","2374"
"Camerupt","Rock Smash","Overheat","10.755","210.8","262.2","2193"
"Mew","Struggle Bug","Dazzling Gleam","10.755","403","501.4","3265"
"Raticate","Quick Attack","Hyper Fang","10.755","185.1","230.2","1730"
"Mew","Waterfall","Blizzard","10.753","403","501","3265"
"Gothitelle","Charm","Psychic","10.752","307","381.6","2419"
"Mew","Waterfall","Focus Blast","10.752","402.9","500.8","3265"
"Gliscor","Wing Attack","Return","10.751","346.6","430.7","2692"
"Mew","Rock Smash","Dazzling Gleam","10.75","402.9","500.5","3265"
"Raichu","Thunder Shock","Thunder","10.75","210.5","261.5","2182"
"Beedrill","Poison Jab","Return","10.749","192.5","239.1","1846"
"Mew","Waterfall","Dragon Claw","10.749","402.8","500.2","3265"
"Zangoose","Shadow Claw","Dig","10.749","199.1","247.2","2418"
"Shadow Suicune","Ice Fang","Ice Beam","10.748","372.9","463.1","2983"
"Starmie","Water Gun","Thunder","10.748","252.3","313.3","2584"
"Weezing","Acid","Shadow Ball","10.747","281.4","349.3","2293"
"Magneton","Charge Beam","Flash Cannon","10.746","208.6","258.8","2485"
"Vileplume","Acid","Moonblast","10.746","266","330.1","2559"
"Galarian Weezing","Tackle","Play Rough","10.745","281.4","349.1","2293"
"Arcanine","Bite","Bulldoze","10.744","299.6","371.6","3029"
"Hitmonchan","Rock Smash","Return","10.743","240.2","297.9","2332"
"Camerupt","Ember","Solar Beam","10.741","210.5","260.9","2193"
"Gastrodon","Hidden Power (Water)","Earth Power","10.741","305","378","2324"
"Gastrodon","Hidden Power (Ground)","Earth Power","10.741","305","378","2324"
"Granbull","Snarl","Close Combat","10.738","241.5","299","2552"
"Shadow Omanyte","Water Gun","Rock Blast","10.738","131.5","162.8","1544"
"Alolan Sandslash","Metal Claw","Ice Punch","10.737","306.7","379.6","2432"
"Regice","Frost Breath","Blizzard","10.737","494.9","612.5","3122"
"Shadow Hitmonchan","Bullet Punch","Thunder Punch","10.735","200","247.5","2332"
"Bouffalant","Zen Headbutt","Skull Bash","10.734","339","419.2","2797"
"Gastly","Lick","Ominous Wind","10.732","71.5","88.3","1229"
"Haunter","Astonish","Dark Pulse","10.732","129.9","160.6","1963"
"Mew","Rock Smash","Solar Beam","10.732","402.2","497.2","3265"
"Mew","Cut","Rock Slide","10.732","402.2","497.1","3265"
"Golduck","Water Gun","Synchronoise","10.731","270.2","333.9","2450"
"Mew","Pound","Stone Edge","10.73","402.1","496.8","3265"
"Luxray","Hidden Power (Fire)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Fighting)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Water)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Flying)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Grass)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Poison)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Ground)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Psychic)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Rock)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Ice)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Bug)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Dragon)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Ghost)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Dark)","Crunch","10.728","261","322.2","2888"
"Luxray","Hidden Power (Steel)","Crunch","10.728","261","322.2","2888"
"Raichu","Spark","Thunder Punch","10.725","210","259.1","2182"
"Lugia","Extrasensory","Hydro Pump","10.722","604.5","745.1","3703"
"Granbull","Bite","Close Combat","10.72","241.1","297","2552"
"Ambipom","Scratch","Aerial Ace","10.719","230.4","283.7","2418"
"Shadow Bellossom","Bullet Seed","Petal Blizzard","10.717","244.2","300.6","2281"
"Shelgon","Dragon Breath","Return","10.717","225.1","277.1","2031"
"Swanna","Water Gun","Hurricane","10.717","214.3","263.8","2088"
"Aggron","Smack Down","Thunder","10.716","378.3","465.5","3000"
"Mew","Struggle Bug","Solar Beam","10.715","401.5","493.9","3265"
"Beedrill","Bug Bite","Return","10.714","191.9","236","1846"
"Mew","Waterfall","Ice Beam","10.714","401.5","493.8","3265"
"Shadow Muk","Infestation","Thunder Punch","10.714","287.4","353.4","2757"
"Hitmontop","Counter","Close Combat","10.711","250.8","308.2","2156"
"Perrserker","Metal Claw","Close Combat","10.711","246","302.3","2386"
"Mew","Dragon Tail","Thunder","10.71","401.4","493.1","3265"
"Glalie","Ice Shard","Avalanche","10.709","269.7","331.2","2105"
"Mew","Frost Breath","Hyper Beam","10.709","401.3","492.9","3265"
"Shadow Suicune","Hidden Power","Ice Beam","10.709","371.6","456.3","2983"
"Feraligatr","Bite","Ice Beam","10.707","321.3","394.4","2857"
"Mew","Shadow Claw","Thunder","10.706","401.2","492.3","3265"
"Mew","Pound","Dark Pulse","10.705","401.2","492.1","3265"
"Sigilyph","Air Slash","Psybeam","10.703","258.2","316.6","2550"
"Qwilfish","Poison Sting","Aqua Tail","10.701","202.2","247.8","2051"
"Arcanine","Snarl","Bulldoze","10.697","298.3","365.2","3029"
"Plusle","Quick Attack","Thunderbolt","10.697","181.7","222.4","1778"
"Wigglytuff","Feint Attack","Dazzling Gleam","10.697","241.6","295.8","1926"
"Shadow Dusknoir","Hex","Dark Pulse","10.696","237.9","291.1","2388"
"Mew","Charge Beam","Overheat","10.694","400.7","490.1","3265"
"Primeape","Karate Chop","Low Sweep","10.694","202.1","247.2","2288"
"Hitmonchan","Counter","Fire Punch","10.691","239.1","292.1","2332"
"Sandslash","Metal Claw","Earthquake","10.691","276.3","337.6","2374"
"Ampharos","Charge Beam","Focus Blast","10.688","303","369.9","2852"
"Solrock","Confusion","Solar Beam","10.687","276.6","337.6","2327"
"Golduck","Confusion","Return","10.684","269","328","2450"
"Luxio","Spark","Thunderbolt","10.683","138.6","169","1486"
"Shadow Misdreavus","Hex","Ominous Wind","10.681","177.5","216.2","1926"
"Ludicolo","Razor Leaf","Hydro Pump","10.679","290.2","353.4","2323"
"Shadow Torterra","Bite","Sand Tomb","10.679","289.6","352.7","2934"
"Mew","Cut","Dragon Claw","10.678","400.1","487.2","3265"
"Hitmonchan","Rock Smash","Power-Up Punch","10.675","238.7","290.4","2332"
"Ivysaur","Vine Whip","Sludge Bomb","10.674","199","242","1699"
"Scolipede","Poison Jab","Gyro Ball","10.674","239.3","291","2447"
"Beedrill","Poison Jab","X-Scissor","10.672","191.1","232.3","1846"
"Carracosta","Rock Throw","Body Slam","10.669","304.5","369.8","2621"
"Mew","Snarl","Dark Pulse","10.666","399.7","485","3265"
"Galvantula","Volt Switch","Thunder","10.661","197.8","239.7","2206"
"Mew","Cut","Ice Beam","10.661","399.5","484","3265"
"Nidoqueen","Poison Jab","Sludge Wave","10.661","308.8","374.2","2488"
"Beheeyem","Astonish","Rock Slide","10.658","258","312.4","2753"
"Eelektross","Spark","Crunch","10.655","263","318.1","2732"
"Omastar","Mud Shot","Return","10.654","298.6","361.1","2786"
"Grumpig","Charge Beam","Psychic","10.653","307.7","372","2369"
"Archen","Quick Attack","Crunch","10.651","123.8","149.5","1842"
"Poliwrath","Bubble","Return","10.651","326.5","394.5","2586"
"Scyther","Air Slash","Night Slash","10.651","255.7","308.9","2706"
"Cofagrigus","Astonish","Shadow Ball","10.649","309.1","373.3","2273"
"Plusle","Spark","Discharge","10.649","180.9","218.5","1778"
"Runerigus","Astonish","Shadow Ball","10.649","309.1","373.3","2273"
"Shadow Arbok","Dragon Tail","Dark Pulse","10.648","175.9","212.3","1921"
"Shadow Hypno","Zen Headbutt","Shadow Ball","10.647","272.8","329.3","2090"
"Shadow Articuno","Ice Shard","Ancient Power","10.646","343.1","414","3051"
"Skarmory","Steel Wing","Sky Attack","10.645","316.9","382.3","2108"
"Shadow Lapras","Water Gun","Dragon Pulse","10.644","339.7","409.7","2641"
"Mew","Infestation","Rock Slide","10.643","398.9","480.9","3265"
"Sneasel","Ice Shard","Return","10.643","191.4","230.8","2051"
"Chimecho","Extrasensory","Psyshock","10.641","267.8","322.6","2259"
"Shadow Grotle","Razor Leaf","Body Slam","10.641","190.6","229.6","1890"
"Mew","Poison Jab","Dark Pulse","10.64","398.7","480.2","3265"
"Stantler","Tackle","Megahorn","10.64","207","249.3","2164"
"Shadow Dusknoir","Astonish","Ominous Wind","10.639","236.7","285","2388"
"Beedrill","Bug Bite","X-Scissor","10.636","190.5","229.2","1846"
"Rhydon","Rock Smash","Megahorn","10.634","340.4","409.3","3179"
"Shadow Beedrill","Bug Bite","Aerial Ace","10.632","158.7","190.7","1846"
"Mew","Charge Beam","Thunderbolt","10.63","398.4","478.5","3265"
"Graveler","Rock Throw","Rock Slide","10.629","212.6","255.2","1897"
"Basculin","Water Gun","Muddy Water","10.628","198.6","238.4","2090"
"Clefable","Charm","Moonblast","10.627","301.5","361.9","2437"
"Feraligatr","Waterfall","Crunch","10.627","318.9","382.8","2857"
"Pelipper","Water Gun","Hydro Pump","10.627","237","284.4","2127"
"Electabuzz","Low Kick","Return","10.626","227.1","272.5","2334"
"Kabutops","Rock Smash","Stone Edge","10.626","252","302.3","2713"
"Doduo","Quick Attack","Brave Bird","10.625","91","109.2","1200"
"Galarian Farfetch'd","Fury Cutter","Brave Bird","10.625","148.4","178","1674"
"Swellow","Wing Attack","Aerial Ace","10.625","174.2","209","1920"
"Shadow Lapras","Frost Breath","Dragon Pulse","10.624","339.1","406.7","2641"
"Machoke","Low Kick","Return","10.623","211.6","253.7","2031"
"Mew","Rock Smash","Overheat","10.623","398.1","477.3","3265"
"Starmie","Tackle","Ice Beam","10.623","249.4","299","2584"
"Raichu","Spark","Thunder","10.621","208","249.2","2182"
"Alolan Ninetales","Charm","Ice Beam","10.62","294.3","352.5","2309"
"Pignite","Tackle","Flamethrower","10.62","198","237.2","1924"
"Crustle","Fury Cutter","Rock Blast","10.618","296.3","354.7","2542"
"Lapras","Frost Breath","Surf","10.617","406.6","486.6","2641"
"Tentacruel","Poison Jab","Hydro Pump","10.617","338.3","404.9","2422"
"Bellsprout","Acid","Power Whip","10.616","85.1","101.8","1033"
"Charmeleon","Fire Fang","Flamethrower","10.616","172.4","206.3","1653"
"Shadow Trapinch","Struggle Bug","Dig","10.615","81.6","97.6","1274"
"Omastar","Mud Shot","Rock Blast","10.614","297.5","355.7","2786"
"Shadow Arbok","Bite","Sludge Wave","10.612","175.3","209.5","1921"
"Cobalion","Metal Claw","Stone Edge","10.611","402.5","480.9","3022"
"Pinsir","Rock Smash","Close Combat","10.611","258.2","308.5","2959"
"Regirock","Rock Throw","Focus Blast","10.611","489.1","584.3","3122"
"Mew","Pound","Thunder","10.608","397.5","474.6","3265"
"Mew","Poison Jab","Stone Edge","10.608","397.5","474.6","3265"
"Scyther","Steel Wing","Night Slash","10.607","254.6","303.9","2706"
"Seadra","Dragon Breath","Hydro Pump","10.607","202.7","241.9","2093"
"Poliwrath","Rock Smash","Hydro Pump","10.606","325.2","388","2586"
"Mew","Snarl","Stone Edge","10.604","397.4","473.9","3265"
"Mew","Rock Smash","Thunderbolt","10.602","397.3","473.5","3265"
"Mew","Infestation","Focus Blast","10.601","397.3","473.3","3265"
"Pelipper","Wing Attack","Hydro Pump","10.6","236.4","281.5","2127"
"Politoed","Bubble","Hydro Pump","10.599","316.8","377.2","2449"
"Armaldo","Struggle Bug","Cross Poison","10.598","272.4","324.3","2848"
"Grumpig","Extrasensory","Shadow Ball","10.598","306.1","364.4","2369"
"Huntail","Water Gun","Ice Beam","10.598","229.7","273.5","2340"
"Mew","Infestation","Blizzard","10.596","397.1","472.4","3265"
"Starmie","Quick Attack","Power Gem","10.595","248.7","295.8","2584"
"Shadow Poliwrath","Mud Shot","Ice Punch","10.594","270.7","321.9","2586"
"Amoonguss","Feint Attack","Grass Knot","10.593","298.9","355.2","2140"
"Togekiss","Air Slash","Ancient Power","10.593","363.3","431.7","3332"
"Mew","Struggle Bug","Thunderbolt","10.591","396.9","471.5","3265"
"Shadow Forretress","Bug Bite","Mirror Shot","10.591","264.1","313.7","2282"
"Mew","Struggle Bug","Overheat","10.59","396.8","471.2","3265"
"Lilligant","Hidden Power (Fire)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Fighting)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Water)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Flying)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Poison)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Electric)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Ground)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Psychic)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Rock)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Ice)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Bug)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Dragon)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Ghost)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Dark)","Petal Blizzard","10.588","233.6","277.2","2550"
"Lilligant","Hidden Power (Steel)","Petal Blizzard","10.588","233.6","277.2","2550"
"Alolan Ninetales","Powder Snow","Dazzling Gleam","10.587","293.4","348.2","2309"
"Doduo","Peck","Drill Peck","10.587","90.7","107.7","1200"
"Articuno","Ice Shard","Return","10.585","409.3","485.5","3051"
"Cloyster","Ice Shard","Blizzard","10.584","302.6","358.7","2547"
"Mew","Frost Breath","Rock Slide","10.583","396.6","470.1","3265"
"Starmie","Hidden Power (Water)","Power Gem","10.583","248.4","294.5","2584"
"Starmie","Hidden Power (Psychic)","Power Gem","10.583","248.4","294.5","2584"
"Tangrowth","Infestation","Rock Slide","10.583","350.8","415.7","3030"
"Drapion","Bite","Crunch","10.582","298","353.1","2453"
"Machoke","Karate Chop","Cross Chop","10.582","210.8","249.8","2031"
"Hippowdon","Fire Fang","Stone Edge","10.581","384.2","455.1","3085"
"Shadow Abra","Charge Beam","Signal Beam","10.579","64.1","75.9","1342"
"Dodrio","Feint Attack","Air Cutter","10.578","193.4","229","2362"
"Electrode","Volt Switch","Discharge","10.577","234.6","277.6","2099"
"Alolan Ninetales","Charm","Blizzard","10.575","293.1","346.6","2309"
"Galarian Rapidash","Psycho Cut","Body Slam","10.575","231.2","273.4","2461"
"Golduck","Water Gun","Bubble Beam","10.574","266.3","314.8","2450"
"Mew","Infestation","Dragon Claw","10.574","396.2","468.4","3265"
"Murkrow","Peck","Dark Pulse","10.574","127.2","150.4","1562"
"Solosis","Zen Headbutt","Psyshock","10.573","102.8","121.5","1367"
"Swampert","Water Gun","Sludge Wave","10.573","334.6","395.5","2974"
"Slaking","Yawn","Body Slam","10.571","397","468.9","4431"
"Lapras","Water Gun","Blizzard","10.57","404.8","478","2641"
"Mew","Infestation","Ice Beam","10.57","396.1","467.7","3265"
"Pinsir","Rock Smash","Submission","10.568","257.2","303.5","2959"
"Rufflet","Wing Attack","Brave Bird","10.568","153.6","181.3","1491"
"Shadow Carvanha","Bite","Poison Fang","10.567","47.2","55.7","1020"
"Shelgon","Dragon Breath","Dragon Pulse","10.567","221.9","261.8","2031"
"Forretress","Bug Bite","Heavy Slam","10.566","316.2","372.9","2282"
"Granbull","Bite","Crunch","10.566","237.7","280.3","2552"
"Nidoqueen","Bite","Earthquake","10.566","306","361","2488"
"Shadow Politoed","Mud Shot","Blizzard","10.563","263.1","310.1","2449"
"Sigilyph","Zen Headbutt","Psybeam","10.563","254.8","300.3","2550"
"Ampharos","Volt Switch","Dragon Pulse","10.561","299.4","352.6","2852"
"Articuno","Ice Shard","Hurricane","10.561","408.4","481","3051"
"Abomasnow","Razor Leaf","Outrage","10.558","281.4","331.2","2362"
"Magnemite","Thunder Shock","Thunderbolt","10.558","107.6","126.7","1362"
"Mew","Frost Breath","Focus Blast","10.558","395.6","465.6","3265"
"Muk","Poison Jab","Dark Pulse","10.558","339.8","399.9","2757"
"Meganium","Vine Whip","Petal Blizzard","10.556","325.9","383.2","2410"
"Ninetales","Fire Spin","Return","10.556","288.3","339.1","2279"
"Mew","Charge Beam","Surf","10.554","395.5","464.9","3265"
"Mew","Frost Breath","Blizzard","10.554","395.5","465","3265"
"Gloom","Acid","Sludge Bomb","10.553","188","220.9","1681"
"Eelektross","Acid","Crunch","10.551","260.4","305.9","2732"
"Mew","Steel Wing","Flash Cannon","10.55","395.4","464.3","3265"
"Milotic","Dragon Tail","Hyper Beam","10.55","395.7","464.6","3005"
"Noctowl","Wing Attack","Sky Attack","10.542","300.2","351.7","2024"
"Skarmory","Steel Wing","Brave Bird","10.542","313.8","367.6","2108"
"Mew","Rock Smash","Surf","10.541","395","462.6","3265"
"Bellsprout","Vine Whip","Sludge Bomb","10.54","84.5","98.9","1033"
"Gorebyss","Confusion","Water Pulse","10.54","228.5","267.6","2494"
"Floatzel","Water Gun","Aqua Jet","10.539","201","235.2","2443"
"Shadow Ninetales","Ember","Psyshock","10.539","239.9","280.8","2279"
"Swellow","Steel Wing","Aerial Ace","10.539","172.8","202.3","1920"
"Wailord","Water Gun","Blizzard","10.537","270","315.8","2280"
"Mew","Frost Breath","Dragon Claw","10.536","394.8","461.8","3265"
"Shadow Growlithe","Ember","Flamethrower","10.536","105.9","123.9","1243"
"Girafarig","Tackle","Thunderbolt","10.534","202.3","236.5","2046"
"Shadow Shiftry","Feint Attack","Leaf Tornado","10.53","183.9","214.7","2333"
"Mew","Frost Breath","Ice Beam","10.528","394.5","460.3","3265"
"Granbull","Snarl","Crunch","10.527","236.8","276.2","2552"
"Shadow Shiftry","Snarl","Leaf Tornado","10.526","183.8","214.3","2333"
"Snorlax","Lick","Heavy Slam","10.525","463.7","540.6","3225"
"Alolan Ninetales","Feint Attack","Dazzling Gleam","10.523","291.6","339.8","2309"
"Nidoking","Iron Tail","Sludge Wave","10.523","257.2","299.8","2567"
"Mew","Struggle Bug","Surf","10.522","394.3","459.3","3265"
"Raichu","Volt Switch","Thunder Punch","10.522","206.1","240.1","2182"
"Virizion","Quick Attack","Close Combat","10.522","399.1","464.9","3022"
"Wailord","Water Gun","Hyper Beam","10.522","269.6","314","2280"
"Primeape","Low Kick","Low Sweep","10.52","198.8","231.5","2288"
"Shadow Pupitar","Bite","Dig","10.52","168.4","196","1766"
"Snorlax","Zen Headbutt","Body Slam","10.519","463.4","539.5","3225"
"Shadow Venomoth","Infestation","Poison Fang","10.518","179.7","209.1","2082"
